wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2010,403983496,1228,58,,,,,
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2011,466488831,1279,60,53,2,0.9986,0.9828,0.9667
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2012,521206116,1395,65,118,2,0.9962,0.9833,0.9385
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2013,588057168,1501,69,107,1,0.9977,0.9846,0.9275
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2014,619287690,1501,69,2,2,0.9999,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2015,696346991,1499,69,8,10,0.9997,0.971,0.971
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2016,742745714,1500,69,3,2,0.9999,0.9855,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2017,817372613,1448,68,26,78,0.9957,0.9275,0.9265
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2018,870703889,1478,68,31,1,0.9995,0.9706,0.9706
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2019,924944177,1545,71,69,2,0.9979,0.9853,0.9437
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2020,968154319,1537,70,0,8,0.9999,0.9859,0.9857
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2021,1028286882,1535,70,1,3,0.9999,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2022,1129752495,1535,70,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2023,1190528648,1535,70,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2024,1241649984,1535,70,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2025,1324072312,1535,70,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Proposed deletion of biographies of living people,2026,1349685007,1522,69,0,13,0.9998,0.9857,1.0
